tdb,tr,rh,v,wbgt,heat_index,age,weight,height,bmi,activity_level,met_w_m2,clo,acclimatized,hydration_status,hours_worked,worker_type,d_lim_t_re_raw,water_loss_g,t_re_final,t_sk_final,remaining_safe_min,hr_estimated,climate_zone,risk_label_int,risk_label,alert_color
35.24,39.72,72.12,2.13,32.413,52.494,26,67.7,170.2,23.4,heavy,200.0,0.59,0,dehydrated,0.89,road_labor,480.0,6580.7,37.8,35.3,306.37,136.7,Composite,0,LOW,green
39.37,52.25,54.98,2.65,35.571,56.252,40,75.2,153.6,31.86,light,65.0,0.66,0,mild,3.54,brick_kiln,480.0,3964.3,37.2,34.7,219.79,106.3,Hot_Dry,0,LOW,green
34.99,40.27,51.12,9.23,28.859,41.089,29,83.3,179.7,25.82,heavy,200.0,0.44,1,well,6.7,agriculture,24.0,6839.7,38.2,33.2,0.0,125.3,Hot_Humid,3,CRITICAL,red
31.8,42.23,30.09,1.45,25.014,31.797,38,75.1,177.7,23.78,heavy,200.0,0.62,0,well,0.64,quarry,480.0,4653.3,37.9,35.0,441.69,120.5,Semi_Arid,0,LOW,green
31.82,40.0,28.45,4.12,23.504,31.817,40,66.8,174.7,21.9,moderate,130.0,0.69,0,mild,4.82,road_work,480.0,2835.2,37.6,33.7,143.03,112.7,Semi_Arid,0,LOW,green
37.41,44.96,46.6,1.84,31.746,45.145,44,73.2,152.8,31.35,light,65.0,0.33,1,well,6.91,agriculture,480.0,2717.9,37.2,34.9,137.61,105.8,Composite,0,LOW,green
25.4,38.71,47.68,4.45,21.527,25.396,42,68.7,162.3,26.09,heavy,200.0,0.58,1,dehydrated,3.37,tea_plantation,480.0,2844.9,37.7,33.9,211.7,124.8,Highland,0,LOW,green
25.02,30.57,40.13,2.9,19.245,25.023,45,67.9,175.9,21.92,moderate,130.0,0.61,0,well,5.76,road_labor,480.0,1208.2,37.3,33.3,134.43,99.2,Composite,0,LOW,green
34.03,39.44,71.34,3.17,31.044,47.575,42,79.7,157.8,32.01,light,65.0,0.69,0,dehydrated,0.09,agriculture,480.0,1824.8,37.2,33.9,354.9,104.2,Hot_Humid,0,LOW,green
36.92,48.58,37.33,6.08,29.397,36.918,35,51.6,157.6,20.8,heavy,200.0,0.42,0,mild,6.97,fishing,26.0,6337.4,38.2,34.5,0.0,145.9,Hot_Humid,3,CRITICAL,red
32.72,45.62,48.68,4.08,28.241,35.377,27,83.0,181.2,25.3,very_heavy,260.0,0.48,1,mild,4.34,agriculture,25.0,6272.5,38.3,35.1,0.0,130.7,Highland,3,CRITICAL,red
32.59,35.83,40.89,4.92,25.294,33.328,58,55.4,165.9,20.14,moderate,130.0,0.31,1,mild,1.96,construction,480.0,2550.8,37.5,33.3,379.3,95.3,Hot_Dry,0,LOW,green
30.59,34.45,63.08,2.5,26.721,34.71,52,77.9,183.2,23.2,heavy,200.0,0.59,0,mild,4.29,construction,480.0,3544.9,37.7,34.5,174.37,132.4,Semi_Arid,0,LOW,green
37.32,44.59,27.67,1.06,28.604,37.318,18,64.2,184.5,18.87,very_heavy,260.0,0.45,0,dehydrated,5.25,construction,24.0,7638.2,38.3,35.9,0.0,152.5,Semi_Arid,3,CRITICAL,red
31.4,34.42,73.05,4.82,28.193,39.722,58,61.6,159.6,24.19,moderate,130.0,0.32,1,mild,6.05,construction,480.0,2108.7,37.5,33.4,133.62,115.0,Hot_Dry,0,LOW,green
37.72,43.68,80.87,6.67,35.198,70.579,31,53.2,158.8,21.1,moderate,130.0,0.41,1,mild,1.45,salt_pan,18.0,7111.9,41.6,36.4,0.0,111.9,Hot_Dry,3,CRITICAL,red
39.55,45.85,68.17,1.39,36.618,67.998,56,71.9,168.2,25.4,light,65.0,0.61,1,dehydrated,3.64,brick_kiln,60.0,5853.0,40.1,36.4,0.0,115.7,Hot_Dry,3,CRITICAL,red
34.22,38.37,76.26,3.73,31.378,50.961,40,75.2,171.7,25.51,heavy,200.0,0.58,0,mild,1.49,brick_kiln,480.0,6002.9,37.8,34.8,342.56,133.3,Hot_Dry,0,LOW,green
26.52,36.78,25.72,2.96,19.512,26.518,47,67.2,153.2,28.63,moderate,130.0,0.59,0,well,3.83,construction,480.0,1685.8,37.4,33.5,250.07,102.6,Semi_Arid,0,LOW,green
28.91,42.06,58.05,4.99,25.697,30.596,27,82.1,167.2,29.35,heavy,200.0,0.4,0,mild,3.21,construction,480.0,3666.5,37.9,34.0,239.16,123.6,Semi_Arid,0,LOW,green
39.0,49.87,56.08,2.83,34.938,55.774,28,48.0,154.5,20.12,moderate,130.0,0.35,0,dehydrated,1.06,construction,480.0,5473.9,37.7,35.5,296.2,126.9,Semi_Arid,0,LOW,green
27.51,33.72,52.56,9.24,22.256,28.118,46,83.9,171.1,28.68,moderate,130.0,0.39,1,mild,5.75,fishing,480.0,1178.0,37.5,31.7,151.65,100.4,Hot_Humid,0,LOW,green
24.73,32.87,45.98,0.65,20.849,24.733,22,63.4,157.2,25.66,heavy,200.0,0.45,0,dehydrated,3.52,agriculture,480.0,3426.2,37.7,34.4,148.56,124.3,Highland,0,LOW,green
34.67,45.28,68.36,1.73,32.772,48.26,34,56.1,178.2,17.66,heavy,200.0,0.6,1,well,1.29,tea_plantation,480.0,6541.1,37.8,35.6,474.5,116.2,Hot_Humid,0,LOW,green
24.2,34.85,42.84,3.15,19.781,24.196,40,66.3,175.2,21.58,heavy,200.0,0.32,0,well,1.03,construction,480.0,2071.1,37.6,33.4,417.95,105.7,Composite,0,LOW,green
38.99,54.86,67.67,1.28,37.963,64.956,55,66.3,158.5,26.4,moderate,130.0,0.41,1,mild,2.64,brick_kiln,59.0,7129.2,39.4,37.3,0.0,115.4,Hot_Dry,3,CRITICAL,red
25.63,30.24,51.24,2.93,20.848,25.633,42,80.6,170.8,27.64,very_heavy,260.0,0.57,0,mild,5.52,agriculture,480.0,3788.1,38.0,34.3,100.55,131.0,Hot_Humid,0,LOW,green
31.08,39.12,57.47,4.45,26.772,34.391,36,60.2,161.8,22.97,light,65.0,0.66,0,mild,4.25,brick_kiln,480.0,1333.5,37.2,33.3,176.83,102.9,Composite,0,LOW,green
28.23,39.51,61.1,4.02,25.326,29.936,39,54.0,162.8,20.38,heavy,200.0,0.5,1,mild,5.96,construction,480.0,3429.4,37.8,34.2,139.46,124.7,Hot_Humid,0,LOW,green
40.21,50.06,17.36,7.5,27.084,40.212,55,71.7,182.5,21.53,very_heavy,260.0,0.52,1,mild,4.0,salt_pan,17.0,8224.5,38.5,34.5,0.0,136.7,Hot_Dry,3,CRITICAL,red
25.68,32.21,69.82,1.66,23.594,25.68,36,53.0,175.8,17.15,heavy,200.0,0.51,0,well,4.95,road_labor,480.0,2936.5,37.7,34.4,182.96,120.1,Composite,0,LOW,green
31.27,38.8,85.39,3.93,30.13,43.888,23,58.5,154.7,24.43,very_heavy,260.0,0.33,1,dehydrated,6.93,agriculture,29.0,5846.4,38.2,34.7,0.0,153.2,Hot_Humid,3,CRITICAL,red
30.22,43.12,71.75,2.76,29.068,36.02,34,49.7,166.6,17.9,moderate,130.0,0.54,0,dehydrated,5.56,brick_kiln,480.0,2734.5,37.5,34.5,26.4,127.0,Hot_Dry,2,HIGH,orange
38.16,42.79,30.63,2.16,29.02,38.16,22,54.4,172.2,18.36,moderate,130.0,0.66,1,dehydrated,2.21,salt_pan,480.0,4157.9,37.7,34.7,281.2,119.2,Hot_Dry,0,LOW,green
34.68,48.1,63.17,4.05,32.013,45.628,49,63.5,160.5,24.64,heavy,200.0,0.6,0,dehydrated,3.52,agriculture,480.0,5551.6,37.9,35.0,148.86,143.2,Hot_Dry,0,LOW,green
27.86,38.6,54.54,5.26,23.772,28.703,23,82.6,172.0,27.93,heavy,200.0,0.43,0,dehydrated,0.97,brick_kiln,480.0,3279.2,37.8,33.6,301.51,120.4,Composite,0,LOW,green
38.14,54.44,58.92,4.59,35.095,54.711,53,84.9,176.3,27.31,very_heavy,260.0,0.58,1,well,5.45,agriculture,40.0,10502.5,38.1,35.7,0.0,141.7,Hot_Dry,3,CRITICAL,red
34.8,38.24,51.19,4.5,28.696,40.654,30,49.4,179.6,15.32,heavy,200.0,0.35,0,well,2.78,brick_kiln,41.0,5098.6,38.1,34.3,0.0,120.2,Composite,3,CRITICAL,red
36.3,48.41,34.32,2.25,29.597,36.3,19,45.5,170.9,15.57,moderate,130.0,0.53,0,dehydrated,5.01,construction,480.0,4201.9,37.7,34.9,59.2,134.8,Semi_Arid,1,MODERATE,yellow
36.53,42.18,52.38,3.07,31.038,45.678,43,82.9,155.4,34.34,heavy,200.0,0.53,0,dehydrated,3.54,fishing,480.0,5584.1,37.9,35.1,147.53,141.9,Hot_Humid,0,LOW,green
35.07,51.99,18.22,6.82,25.0,35.072,53,81.8,177.7,25.9,very_heavy,260.0,0.31,0,well,4.56,brick_kiln,19.0,6990.0,38.5,34.3,0.0,130.7,Hot_Dry,3,CRITICAL,red
25.52,39.29,29.71,1.52,20.403,25.52,28,63.0,154.0,26.59,moderate,130.0,0.69,1,mild,5.87,road_work,480.0,2124.7,37.4,34.1,144.46,109.2,Semi_Arid,0,LOW,green
19.73,27.47,88.17,4.73,18.845,19.73,57,69.3,163.3,26.0,moderate,130.0,0.6,1,well,1.44,agriculture,480.0,156.1,37.2,32.6,465.66,84.5,Highland,0,LOW,green
26.72,43.49,45.02,6.76,22.397,26.72,24,58.9,175.8,19.05,moderate,130.0,0.48,1,mild,1.57,salt_pan,480.0,1825.1,37.5,33.0,402.47,99.4,Hot_Dry,0,LOW,green
32.4,42.37,26.52,2.24,24.568,32.401,23,46.4,160.9,17.91,heavy,200.0,0.61,0,mild,1.94,brick_kiln,480.0,4663.0,37.9,34.9,315.41,115.3,Hot_Dry,0,LOW,green
33.45,44.37,82.95,4.1,32.631,51.579,39,48.4,184.9,14.16,very_heavy,260.0,0.5,1,mild,4.17,brick_kiln,47.0,9146.0,38.0,35.3,0.0,137.7,Hot_Dry,3,CRITICAL,red
26.18,37.06,75.2,2.91,25.102,26.178,49,63.7,171.9,21.57,heavy,200.0,0.45,1,well,5.86,tea_plantation,480.0,2650.6,37.6,34.2,200.64,109.9,Hot_Humid,0,LOW,green
35.07,43.8,58.31,4.04,30.824,44.44,47,67.4,155.4,27.89,moderate,130.0,0.37,1,mild,6.03,quarry,480.0,3649.9,37.6,34.4,134.85,122.3,Semi_Arid,0,LOW,green
36.37,44.46,54.11,3.47,31.505,46.133,50,46.0,155.5,19.04,heavy,200.0,0.59,0,well,4.61,fishing,480.0,5594.0,37.9,35.0,203.25,135.7,Hot_Humid,0,LOW,green
25.63,28.59,39.03,8.35,18.998,25.629,50,67.3,175.2,21.91,heavy,200.0,0.62,1,mild,6.92,fishing,480.0,2102.8,37.7,32.4,81.53,111.6,Hot_Humid,0,LOW,green
32.4,43.79,78.38,9.85,29.742,45.104,38,61.3,161.3,23.53,moderate,130.0,0.33,0,mild,4.43,tea_plantation,70.0,6806.0,38.4,33.1,0.0,123.9,Hot_Humid,3,CRITICAL,red
26.82,35.57,82.28,6.9,24.809,26.824,18,77.7,162.0,29.62,heavy,200.0,0.4,1,well,2.66,fishing,480.0,2749.1,37.8,33.0,392.53,110.5,Hot_Humid,0,LOW,green
30.3,36.62,40.13,3.53,23.797,30.057,47,59.5,180.1,18.34,moderate,130.0,0.39,0,dehydrated,6.82,tea_plantation,480.0,2166.8,37.5,33.6,0.0,123.9,Highland,3,CRITICAL,red
34.31,39.22,83.61,4.18,32.312,55.751,34,55.7,169.0,19.53,light,65.0,0.55,1,mild,1.81,agriculture,480.0,2489.7,37.2,33.8,388.49,97.2,Hot_Dry,0,LOW,green
22.73,32.09,74.24,5.65,20.564,22.726,51,55.9,150.6,24.63,heavy,200.0,0.67,1,mild,0.82,brick_kiln,480.0,1940.7,37.6,33.3,447.34,93.1,Composite,0,LOW,green
31.83,35.1,69.68,8.62,28.221,39.796,59,50.6,159.2,19.96,moderate,130.0,0.41,0,dehydrated,5.13,agriculture,480.0,2671.1,37.6,32.5,52.48,130.0,Hot_Humid,1,MODERATE,yellow
25.07,35.09,60.6,3.2,22.32,25.065,34,61.8,163.4,23.13,very_heavy,260.0,0.51,1,well,0.33,road_labor,57.0,3968.7,38.0,34.4,45.82,111.6,Composite,1,MODERATE,yellow
21.54,28.99,58.57,1.95,18.707,21.539,57,62.5,182.0,18.86,heavy,200.0,0.59,0,mild,4.27,agriculture,480.0,1690.7,37.5,33.8,175.63,113.2,Composite,0,LOW,green
38.45,41.2,49.59,5.14,31.767,49.673,50,55.8,168.9,19.56,moderate,130.0,0.36,0,mild,5.89,construction,480.0,4597.4,37.7,34.2,78.56,129.7,Highland,0,LOW,green
27.67,34.03,45.75,2.21,22.609,27.762,60,68.9,166.1,24.99,heavy,200.0,0.33,1,mild,0.54,construction,480.0,2561.4,37.6,33.9,464.14,98.3,Highland,0,LOW,green
24.53,27.98,86.25,0.94,23.678,24.535,54,48.7,182.1,14.67,heavy,200.0,0.35,1,dehydrated,6.65,agriculture,480.0,2297.8,37.6,34.0,14.9,123.8,Semi_Arid,2,HIGH,orange
32.52,45.81,80.23,5.19,31.566,46.406,40,74.0,172.3,24.91,heavy,200.0,0.69,0,dehydrated,6.32,quarry,480.0,5890.1,37.8,34.7,0.0,148.2,Semi_Arid,3,CRITICAL,red
32.9,41.27,72.02,1.46,31.149,44.028,49,73.2,182.4,22.01,heavy,200.0,0.37,0,well,3.98,tea_plantation,480.0,4764.4,37.8,35.3,241.46,124.2,Hot_Humid,0,LOW,green
34.12,42.86,47.96,4.19,28.536,37.978,20,72.9,161.9,27.8,moderate,130.0,0.59,0,mild,0.46,agriculture,480.0,3473.1,37.6,34.1,404.55,111.9,Semi_Arid,0,LOW,green
29.17,35.63,59.06,5.54,24.547,31.168,35,65.8,164.9,24.19,light,65.0,0.65,0,mild,2.92,road_work,480.0,936.1,37.2,32.8,256.65,96.9,Semi_Arid,0,LOW,green
25.4,36.66,43.59,4.52,20.637,25.403,56,45.4,151.8,19.68,moderate,130.0,0.34,0,dehydrated,0.26,construction,480.0,822.5,37.3,32.9,344.21,101.1,Hot_Humid,0,LOW,green
31.6,39.18,61.68,2.5,28.248,36.638,47,61.7,164.7,22.74,heavy,200.0,0.6,1,mild,1.67,agriculture,480.0,4131.0,37.8,34.8,396.51,113.8,Semi_Arid,0,LOW,green
23.42,24.97,42.21,1.64,17.661,23.42,18,81.4,151.6,35.43,moderate,130.0,0.34,0,mild,2.74,construction,480.0,579.8,37.3,33.0,267.52,93.2,Highland,0,LOW,green
26.34,31.97,85.53,5.58,24.578,26.342,23,84.3,180.9,25.74,heavy,200.0,0.54,1,mild,6.33,quarry,480.0,2825.1,37.8,33.5,117.24,123.1,Semi_Arid,0,LOW,green
35.12,37.44,46.11,8.63,28.275,39.479,60,52.1,157.7,20.93,heavy,200.0,0.37,0,mild,5.46,fishing,30.0,5507.0,38.1,33.0,0.0,131.4,Hot_Humid,3,CRITICAL,red
27.15,41.53,21.71,5.58,19.415,27.153,52,68.9,168.4,24.3,heavy,200.0,0.4,1,dehydrated,3.61,road_labor,480.0,2884.1,37.8,33.3,197.6,115.8,Composite,0,LOW,green
37.27,47.99,54.5,3.53,32.891,49.022,42,68.7,170.3,23.69,heavy,200.0,0.34,1,mild,6.14,construction,40.0,6306.6,38.1,35.4,0.0,135.7,Highland,3,CRITICAL,red
28.43,43.81,33.02,6.11,22.243,28.431,29,46.4,161.5,17.79,light,65.0,0.67,0,dehydrated,5.15,quarry,480.0,1079.6,37.2,32.8,51.21,101.0,Semi_Arid,1,MODERATE,yellow
24.89,35.41,64.03,1.4,23.138,24.885,54,53.8,173.9,17.79,moderate,130.0,0.33,0,mild,5.96,salt_pan,480.0,1239.1,37.3,33.9,74.49,110.8,Hot_Dry,0,LOW,green
31.14,41.22,60.11,6.44,26.956,35.182,57,72.1,169.8,25.01,very_heavy,260.0,0.41,0,well,6.15,construction,30.0,5029.3,38.1,33.9,0.0,144.3,Hot_Humid,3,CRITICAL,red
39.09,54.48,75.63,5.74,37.641,72.835,42,82.2,153.7,34.8,light,65.0,0.58,1,dehydrated,1.32,construction,26.0,6088.7,41.9,36.8,0.0,115.0,Hot_Dry,3,CRITICAL,red
35.63,46.3,87.03,5.27,34.821,64.72,59,50.2,161.7,19.18,heavy,200.0,0.6,1,dehydrated,1.13,agriculture,24.0,7961.5,41.3,36.6,0.0,132.7,Hot_Humid,3,CRITICAL,red
28.42,37.44,20.87,1.9,20.296,28.42,58,70.3,159.1,27.76,moderate,130.0,0.55,0,well,3.78,agriculture,480.0,1968.7,37.4,33.8,253.21,101.3,Highland,0,LOW,green
37.9,48.56,24.23,6.09,27.533,37.901,49,78.6,163.7,29.32,heavy,200.0,0.37,1,mild,5.28,salt_pan,25.0,6330.3,38.2,34.4,0.0,122.3,Hot_Dry,3,CRITICAL,red
34.34,43.82,86.25,2.51,34.057,57.644,34,68.3,162.1,25.99,moderate,130.0,0.55,1,dehydrated,0.32,agriculture,480.0,6419.9,37.3,34.9,394.79,116.0,Hot_Humid,0,LOW,green
30.0,32.02,76.79,2.39,27.34,36.787,51,55.9,184.9,16.36,very_heavy,260.0,0.47,0,dehydrated,3.16,agriculture,480.0,4547.2,38.0,34.7,170.42,147.2,Semi_Arid,0,LOW,green
36.45,49.34,31.92,1.62,29.649,36.454,39,50.3,180.4,15.44,heavy,200.0,0.69,1,well,0.22,salt_pan,480.0,5945.4,38.0,35.5,538.85,105.6,Hot_Dry,0,LOW,green
35.16,50.66,79.28,5.02,34.517,56.768,36,56.0,184.4,16.45,very_heavy,260.0,0.46,1,dehydrated,6.26,agriculture,37.0,11438.8,38.8,35.9,0.0,153.5,Composite,3,CRITICAL,red
24.96,39.06,66.18,3.07,23.641,24.961,33,66.7,155.6,27.57,light,65.0,0.38,1,mild,0.64,agriculture,480.0,91.6,37.0,33.3,458.51,76.0,Semi_Arid,0,LOW,green
27.38,29.67,47.67,4.57,21.574,27.628,46,50.2,151.1,22.0,heavy,200.0,0.67,0,dehydrated,4.32,agriculture,480.0,2927.6,37.8,33.6,101.01,127.8,Hot_Dry,0,LOW,green
26.77,35.66,25.46,5.59,18.612,26.771,55,54.0,155.6,22.3,very_heavy,260.0,0.56,1,mild,2.28,agriculture,480.0,3834.5,38.0,33.7,359.91,121.5,Hot_Dry,0,LOW,green
32.25,34.89,57.46,10.05,27.176,36.877,38,47.9,163.7,17.87,heavy,200.0,0.49,1,mild,4.2,fishing,35.0,5119.2,38.1,32.6,0.0,126.4,Hot_Humid,3,CRITICAL,red
31.64,44.5,38.16,2.93,26.166,31.639,50,65.7,153.1,28.04,moderate,130.0,0.44,0,well,0.23,construction,480.0,2840.7,37.5,34.3,466.05,92.0,Semi_Arid,0,LOW,green
26.31,33.55,55.43,2.2,22.668,26.312,32,53.0,155.9,21.82,heavy,200.0,0.34,1,mild,4.46,construction,480.0,2770.4,37.7,34.0,229.5,124.4,Hot_Humid,0,LOW,green
35.5,40.24,73.19,8.36,32.14,54.231,24,71.4,169.4,24.91,moderate,130.0,0.54,0,mild,5.49,tea_plantation,78.0,7134.7,38.4,33.7,0.0,129.0,Hot_Humid,3,CRITICAL,red
30.98,36.8,35.48,2.49,23.933,30.978,35,47.4,158.6,18.84,moderate,130.0,0.36,1,mild,6.1,fishing,480.0,2485.4,37.5,34.0,130.65,103.5,Hot_Humid,0,LOW,green
36.19,45.96,66.63,3.82,33.198,52.704,35,71.1,161.6,27.23,moderate,130.0,0.52,0,mild,3.45,agriculture,480.0,4597.7,37.6,34.7,224.82,120.0,Semi_Arid,0,LOW,green
